Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Reached.on.Time_Y.N
4,2,-0.690721710224428,-0.3727347507001652,0,1,1.8899833648589817,-1.4682397478776226,0,0,0,1,0,1,0,0,1
4,5,0.12074558253430251,-1.0294237660695578,0,0,2.8156355730238762,-0.3338933271921039,0,0,0,0,1,1,0,0,1
2,2,-0.5658805882615463,0.28395426466922724,0,0,2.1368239537029536,-0.15900218093007787,1,0,0,0,0,1,0,0,1
3,3,-0.7115285638849083,0.28395426466922724,1,0,-0.20816164031477966,-1.5024841681247325,0,1,0,0,0,1,0,0,1
2,2,-0.5450737346010661,-0.3727347507001652,1,1,2.0134036592809674,-0.7032438598573617,0,0,1,0,0,1,0,0,1
3,1,-1.002824515131632,-0.3727347507001652,1,1,-0.08474134589279368,-1.3557223670656897,0,0,0,0,1,1,0,0,1
3,4,0.8281786069906316,-0.3727347507001652,0,1,-0.6401326707917305,-0.7723442078559943,0,0,0,1,0,1,0,0,1
4,1,0.47446209476246703,-1.0294237660695578,0,1,2.1368239537029536,-0.5075614584453046,0,0,0,0,1,1,0,0,1
3,4,-1.2525067590573953,-0.3727347507001652,0,1,-0.14645149310378666,-1.0842130351064605,1,0,0,0,0,1,0,0,1
3,2,-0.9612108078106715,-0.3727347507001652,1,1,0.964331156694087,-1.4963690930806057,0,1,0,0,0,1,0,0,1
3,4,-0.44103946629866475,-1.0294237660695578,1,0,-0.08474134589279368,-0.4561948280746396,0,0,1,0,0,1,0,0,1
4,5,0.4536552411019868,-0.3727347507001652,1,1,1.149461598327066,-0.23299458896401198,0,0,0,0,1,1,0,0,1
3,5,-0.2537777833543423,-0.3727347507001652,1,1,-0.7635529652137165,0.020169517862836914,0,0,0,1,0,1,0,0,1
4,4,1.3483499485026382,-0.3727347507001652,2,0,0.964331156694087,-0.6310859743366657,0,0,0,0,1,1,0,0,1
4,3,-1.2108930517364347,-0.3727347507001652,0,0,1.8282732176479888,-1.6052174288660626,1,0,0,0,0,1,0,0,1
4,3,0.3496209727995854,-0.3727347507001652,0,1,1.9516935120699745,-0.5668776863733345,0,1,0,0,0,1,0,0,1
3,4,-1.398154734680757,-1.0294237660695578,1,1,-0.4550022291587516,-1.4920885405497168,0,0,1,0,0,1,0,0,1
5,5,0.3496209727995854,-0.3727347507001652,1,0,1.3963021871710377,0.1944491566204503,0,0,0,0,1,0,0,1,1
5,5,0.5993032167253487,-0.3727347507001652,2,0,0.2855195373731642,-0.6965172773088223,0,0,0,1,0,0,0,1,1
4,5,-1.3565410273597964,-0.3727347507001652,1,0,1.9516935120699745,-1.5746420536454286,0,0,0,0,1,0,0,1,1
3,3,-1.0236313687921121,-1.0294237660695578,1,1,1.5197224815930237,-1.2921255866067711,1,0,0,0,0,0,0,1,1
3,1,0.4536552411019868,0.28395426466922724,1,1,2.3219543953359327,-0.44946824552610015,0,1,0,0,0,0,0,1,1
2,5,-1.1276656370945135,-1.0294237660695578,0,0,-0.7018428180027235,-1.1520903680962677,0,0,1,0,0,0,0,1,1
4,3,0.016711314231901166,-0.3727347507001652,2,0,-0.08474134589279368,0.17610393148806994,0,0,0,0,1,0,0,1,1
4,5,0.8489854606511119,-1.0294237660695578,1,1,0.9026210094830941,-0.044650277604907,0,0,0,1,0,0,0,1,1
3,1,0.3080072654786249,0.28395426466922724,0,0,0.964331156694087,-0.0843982653917311,0,0,0,0,1,0,0,1,1
4,1,-0.7947559785268293,-0.3727347507001652,2,1,0.6557804206391221,-1.5703615011145398,1,0,0,0,0,0,0,1,1
5,1,-1.002824515131632,-0.3727347507001652,1,0,1.0877514511160729,-1.3447152319862614,0,1,0,0,0,0,0,1,1
2,3,0.49526894842294733,0.28395426466922724,0,0,1.8899833648589817,-0.3057639819891207,0,0,1,0,0,0,0,1,1
5,4,-0.5658805882615463,-1.0294237660695578,0,1,1.3963021871710377,0.11311865853356404,0,0,0,0,1,0,0,1,1
3,4,1.161088265558316,-1.0294237660695578,1,1,1.5197224815930237,-0.5460864312233034,0,0,0,1,0,0,0,1,1
5,3,0.9738265826139935,-1.0294237660695578,0,1,2.9390558674458624,-0.17918192857569626,0,0,0,0,1,0,0,1,1
3,1,0.26639355815766436,-0.3727347507001652,0,1,0.5323601262171361,0.09844247842765975,1,0,0,0,0,0,0,1,1
4,2,0.49526894842294733,-0.3727347507001652,1,0,-0.5784225235807375,-0.22810252892871055,0,1,0,0,0,0,0,1,1
4,2,0.3496209727995854,0.28395426466922724,1,1,0.5323601262171361,-0.717920039963266,0,0,1,0,0,0,0,1,1
5,4,-1.2733136127178755,-0.3727347507001652,1,1,1.8899833648589817,-1.1147884103270944,0,0,0,0,1,0,0,1,1
3,5,-1.5229958566436386,0.28395426466922724,2,1,3.0007660146568553,-1.319031916800929,0,0,0,1,0,0,0,1,1
2,4,-0.6074942955825069,1.5973322954080122,1,1,0.16209924295117825,-0.01774394741074915,0,0,0,0,1,0,0,1,1
5,1,0.09993872887382224,0.28395426466922724,0,1,2.6305051313908976,0.16570830391305438,1,0,0,0,0,0,0,1,1
4,2,1.2235088265397567,0.9406432800386197,0,1,1.9516935120699745,-0.7650061178030423,0,1,0,0,0,0,0,1,1
5,1,0.3496209727995854,-1.0294237660695578,0,0,0.10038909574018526,0.1002770009408978,0,0,1,0,0,0,0,1,1
5,5,-1.4813821493226782,0.28395426466922724,1,0,2.9390558674458624,-1.4486715077364167,0,0,0,0,1,0,0,1,1
3,5,-1.5229958566436386,-1.0294237660695578,1,0,1.5197224815930237,-1.2150756410507737,0,0,0,1,0,0,0,1,1
3,1,-0.7531422712058687,-1.0294237660695578,0,0,1.8899833648589817,-1.2707228239523274,0,0,0,0,1,0,0,1,1
3,1,-1.2316999053969149,-1.0294237660695578,0,0,0.964331156694087,-1.4101465349584181,1,0,0,0,0,0,0,1,1
5,1,-0.004095539428579102,-0.3727347507001652,0,1,-0.2698717875257726,-0.4219504078275296,0,1,0,0,0,0,0,1,1
3,4,-0.8571765395082701,0.28395426466922724,1,1,1.149461598327066,-1.4609016578246703,0,0,1,0,0,0,0,1,1
5,1,-1.0444382224525925,-1.0294237660695578,0,0,1.149461598327066,-1.2584926738640738,0,0,0,0,1,0,0,1,1
5,4,-0.42023261263818446,-1.0294237660695578,1,0,-0.2698717875257726,0.07275916324232726,0,0,0,1,0,0,0,1,1
5,3,0.12074558253430251,-0.3727347507001652,0,1,1.6431427760150097,-0.9099333963488471,0,0,0,0,1,0,0,1,1
4,1,-0.5658805882615463,-0.3727347507001652,0,0,1.4580123343820308,-0.9735301768077655,1,0,0,0,0,0,0,1,1
4,4,-1.4397684420017176,-0.3727347507001652,0,0,0.5323601262171361,-1.161262980662458,0,1,0,0,0,0,0,1,1
4,3,-0.9404039541501912,-0.3727347507001652,0,1,1.8899833648589817,-1.4150385949937194,0,0,1,0,0,0,0,1,1
2,1,-0.8363696858477898,-0.3727347507001652,0,0,1.7048529232260028,-1.5324480358409538,0,0,0,0,1,0,0,1,1
4,3,-0.14974351505194097,-0.3727347507001652,2,0,-0.08474134589279368,-0.05810344270198593,0,0,0,1,0,0,0,1,1
2,5,0.7449511923487105,0.9406432800386197,0,0,2.0134036592809674,-0.7319847125647576,0,0,0,0,1,0,0,1,1
3,3,0.5784963630648684,-0.3727347507001652,0,1,2.9390558674458624,-0.3290012671568025,1,0,0,0,0,0,0,1,1
3,3,-0.3578120516567437,-0.3727347507001652,1,1,0.964331156694087,-0.11069308808147628,0,1,0,0,0,0,0,1,1
5,5,-1.4397684420017176,-0.3727347507001652,2,0,1.7048529232260028,-1.3862977422863236,0,0,1,0,0,0,0,1,1
4,1,-1.2525067590573953,-0.3727347507001652,2,1,0.22380939016217122,-1.0462995698328743,0,0,0,0,1,0,0,1,1
3,1,0.22477985083670385,-0.3727347507001652,0,1,3.1241863090788415,-0.5136765334894314,0,0,0,1,0,0,0,1,1
3,3,-0.6491080029034674,-0.3727347507001652,1,0,2.3836645425469256,-1.5141028107085734,0,0,0,0,1,0,0,1,1
5,1,-2.188815173779007,1.5973322954080122,1,0,3.0007660146568553,-1.4321608051172745,1,0,0,0,0,0,0,1,1
3,1,-0.690721710224428,-0.3727347507001652,1,0,2.9390558674458624,-1.0725943925226196,0,1,0,0,0,0,0,1,1
4,5,1.0570539972559145,-1.0294237660695578,2,0,2.1985341009139465,-0.3601881498818491,0,0,1,0,0,0,0,1,1
3,2,-0.17055036871242124,-0.3727347507001652,0,0,2.1985341009139465,-0.46047538060552834,0,0,0,0,1,0,0,1,1
3,2,-2.105587759137086,-0.3727347507001652,1,1,0.10038909574018526,-1.1765506682727749,0,0,0,1,0,0,0,1,1
3,3,-1.0860519297735531,-0.3727347507001652,0,1,-0.4550022291587516,-1.0738174075314448,0,0,0,0,1,0,0,1,1
4,2,0.4328483874415065,0.28395426466922724,1,1,-0.4550022291587516,-0.6861216497338067,1,0,0,0,0,0,0,1,1
3,5,-0.08732295407050017,-0.3727347507001652,1,0,1.5814326288040168,-0.4311230203937198,0,1,0,0,0,0,0,1,1
5,1,-0.4826531736196253,0.28395426466922724,2,0,0.03867894852919228,0.1314638836659444,0,0,1,0,0,0,0,1,1
5,5,0.41204153378102626,-1.0294237660695578,0,1,-0.7018428180027235,-0.8591782734825947,0,0,0,0,1,0,0,1,1
5,5,0.4536552411019868,-0.3727347507001652,1,1,1.2111717455380588,-0.38892900258924495,0,0,0,1,0,0,0,1,1
4,5,0.09993872887382224,-0.3727347507001652,1,1,0.47064997900614314,0.214017396761656,0,0,0,0,1,0,0,1,1
6,1,0.5784963630648684,1.5973322954080122,0,1,-0.023031198681800702,-0.7289271750426942,1,0,0,0,0,0,0,1,1
4,1,1.161088265558316,-0.3727347507001652,0,1,0.5940702734281291,0.08621232833940619,0,1,0,0,0,0,0,1,1
2,3,-1.0860519297735531,-1.0294237660695578,1,1,1.3963021871710377,-1.1288530829285859,0,0,1,0,0,0,0,1,1
3,3,-2.022360344495165,-0.3727347507001652,0,1,1.8282732176479888,-1.293960109120009,0,0,0,0,1,0,0,1,1
3,4,0.26639355815766436,-0.3727347507001652,0,0,0.2855195373731642,0.19872970915133903,0,0,0,1,0,0,0,1,1
3,5,0.9738265826139935,-1.0294237660695578,1,1,2.6305051313908976,0.04707584805699477,0,0,0,0,1,0,0,1,1
3,4,-0.6283011492429872,-1.0294237660695578,1,1,2.1985341009139465,-1.0346809272490334,1,0,0,0,0,0,0,1,1
2,5,-1.62703012494604,-0.3727347507001652,0,0,0.2855195373731642,-1.1465868005565536,0,1,0,0,0,0,0,1,1
4,4,0.14155243619478278,-0.3727347507001652,2,1,0.7792007150611081,-0.4641444256320044,0,0,1,0,0,0,0,1,1
5,5,-1.002824515131632,-0.3727347507001652,2,1,1.0877514511160729,-1.3881322647995615,0,0,0,0,1,0,0,1,1
4,5,-0.2745846370148226,-1.0294237660695578,1,1,1.6431427760150097,-0.5650431638600963,0,0,0,1,0,0,0,1,1
3,4,-0.2745846370148226,-0.3727347507001652,1,0,-0.023031198681800702,-0.9087103813400217,0,0,0,0,1,0,0,1,1
4,1,-0.5242668809405858,-1.0294237660695578,0,0,1.8899833648589817,-0.4427416629775607,1,0,0,0,0,0,0,1,1
6,2,1.4107705094840792,-0.3727347507001652,1,1,-0.6401326707917305,-0.4036051826951493,0,1,0,0,0,0,0,1,1
3,3,0.39123468012054596,-0.3727347507001652,0,0,2.1985341009139465,-0.7919124479972001,0,0,1,0,0,0,0,1,1
4,1,-0.5034600272801055,0.28395426466922724,1,1,2.6922152786018905,0.15042061630273743,0,0,0,0,1,0,0,1,1
5,3,-0.7531422712058687,1.5973322954080122,2,1,1.7048529232260028,-1.5587428585306988,0,0,0,1,0,0,0,1,1
5,5,1.5772253387679214,-0.3727347507001652,0,1,0.2855195373731642,-0.28803026436115303,0,0,0,0,1,0,0,1,1
4,4,-0.7323354175453884,-1.0294237660695578,1,1,-0.3932920819477586,-1.495757585576193,1,0,0,0,0,0,0,1,1
3,3,0.1831661435157433,-0.3727347507001652,1,1,0.22380939016217122,-0.15105258337271305,0,1,0,0,0,0,0,1,1
4,1,0.0583250215528617,0.28395426466922724,2,1,1.3345920399600448,-0.7894664179795494,0,0,1,0,0,0,0,1,1
2,3,0.5160758020834276,-0.3727347507001652,0,0,2.6922152786018905,-0.9784222368430671,0,0,0,0,1,0,0,1,1
3,3,-1.2733136127178755,-1.0294237660695578,1,0,0.2855195373731642,-1.4731318079129239,0,0,0,1,0,0,0,1,1
4,1,1.2651225338607173,-1.0294237660695578,1,1,-0.3315819347367656,-0.753998982723614,0,0,0,0,1,0,0,1,1
3,5,-1.3773478810202768,0.28395426466922724,1,0,-0.5167123763697445,-1.547124215946858,1,0,0,0,0,0,0,1,1
4,2,-1.3565410273597964,-1.0294237660695578,1,0,0.47064997900614314,-1.233420866183154,0,1,0,0,0,0,0,1,1
5,3,-1.398154734680757,-1.0294237660695578,1,0,2.8156355730238762,-1.0988892152123646,0,0,1,0,0,0,0,1,1
5,5,0.3496209727995854,0.28395426466922724,0,0,2.4453746897579185,-0.6176328092395867,0,0,0,0,1,0,0,1,1
2,1,0.0583250215528617,-0.3727347507001652,0,0,0.964331156694087,-0.5515899987630175,0,0,0,1,0,0,0,1,1
5,1,-1.3773478810202768,0.28395426466922724,0,0,1.4580123343820308,-1.208349058502234,0,0,0,0,1,0,0,1,1
3,3,0.16235928985526304,-0.3727347507001652,0,0,-0.6401326707917305,-0.8432790783678651,1,0,0,0,0,0,0,1,1
4,2,-1.3773478810202768,-0.3727347507001652,1,0,2.8156355730238762,-1.2511545838111215,0,1,0,0,0,0,0,1,1
3,1,0.5784963630648684,-0.3727347507001652,0,0,0.22380939016217122,-0.6176328092395867,0,0,1,0,0,0,0,1,1
4,5,0.12074558253430251,-0.3727347507001652,2,0,0.7792007150611081,-0.9668035942592261,0,0,0,0,1,0,0,1,1
4,5,0.5784963630648684,-0.3727347507001652,2,1,2.5687949841799047,-0.23054855894636125,0,0,0,1,0,0,0,1,1
4,1,-1.4397684420017176,-0.3727347507001652,1,0,2.0751138064919608,-1.457844120302607,0,0,0,0,1,0,0,1,1
3,1,-1.0860519297735531,-1.0294237660695578,0,0,-0.7018428180027235,-1.4370528651525758,1,0,0,0,0,0,1,0,1
